N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"109,500","상승 1,100",+1.01%,100,"6,482,004","5,919,638",52.28,"15,527,762",22.74,9.03
2,SK하이닉스,"577,000","상승 33,000",+6.07%,"5,000","4,200,574","728,002",53.14,"4,288,433",11.77,31.06
3,LG에너지솔루션,"451,500","상승 25,500",+5.99%,500,"1,056,510","234,000",4.65,"593,075",-120.66,-4.93
4,삼성바이오로직스,"1,629,000","하락 12,000",-0.73%,"2,500","754,080","46,291",12.65,"36,652",72.65,10.45
5,삼성전자우,"80,500",상승 400,+0.50%,100,"656,860","815,975",76.93,"1,581,695",16.72,N/A
6,현대차,"315,500",상승 500,+0.16%,"5,000","646,011","204,758",36.45,"1,867,237",7.93,12.43
7,두산에너빌리티,"76,800","하락 3,600",-4.48%,"5,000","491,951","640,561",22.77,"5,760,748",-483.02,1.52
8,기아,"125,600","상승 2,000",+1.62%,"5,000","490,359","390,413",40.00,"1,464,750",6.37,19.09
9,KB금융,"127,900","하락 2,800",-2.14%,"5,000","487,890","381,462",75.56,"918,395",8.57,8.86
10,한화에어로스페이스,"937,000","상승 42,000",+4.69%,"5,000","483,149","51,563",43.90,"231,159",17.13,53.94
11,HD현대중공업,"543,000","상승 9,000",+1.69%,"5,000","482,038","88,773",11.24,"184,472",37.29,11.39
12,셀트리온,"187,100","상승 3,800",+2.07%,"1,000","432,128","230,961",21.41,"630,756",59.06,2.46
13,삼성물산,"251,500","상승 7,500",+3.07%,100,"427,491","169,977",28.92,"488,434",20.57,6.83
14,SK스퀘어,"322,000","상승 20,000",+6.62%,100,"426,782","132,541",51.53,"517,651",6.11,21.70
15,NAVER,"249,000",하락 500,-0.20%,100,"390,563","156,853",38.78,"466,382",17.99,7.90
16,신한지주,"78,000","하락 2,200",-2.74%,"5,000","378,686","485,495",59.06,"1,049,583",7.98,8.11
17,한화오션,"114,000","상승 5,500",+5.07%,"5,000","349,311","306,413",9.90,"1,936,008",28.80,11.52
18,한국전력,"51,700",하락 500,-0.96%,"5,000","331,895","641,964",22.80,"2,637,870",4.03,9.22
19,현대모비스,"362,500",보합 0,0.00%,"5,000","328,906","90,733",45.69,"372,145",8.05,9.35
20,삼성생명,"155,800","하락 2,400",-1.52%,500,"311,600","200,000",22.92,"169,357",14.28,6.18
21,HD한국조선해양,"439,000","상승 7,000",+1.62%,"5,000","310,694","70,773",32.81,"134,920",15.34,11.16
22,HD현대일렉트릭,"842,000","상승 10,000",+1.20%,"5,000","303,517","36,047",36.19,"115,992",49.21,39.34
23,카카오,"62,000",상승 500,+0.81%,100,"274,278","442,384",29.92,"2,017,494",118.10,0.56
24,고려아연,"1,411,000","상승 52,000",+3.83%,"5,000","272,933","19,343",11.44,"30,234",91.07,2.28
25,LG화학,"386,500","상승 5,000",+1.31%,"5,000","272,839","70,592",34.49,"235,607",-20.47,-2.11
26,하나금융지주,"94,000","하락 1,200",-1.26%,"5,000","261,626","278,326",67.33,"416,184",6.81,9.11
27,POSCO홀딩스,"319,000","상승 8,000",+2.57%,"5,000","258,176","80,933",28.82,"305,182",57.37,2.00
28,삼성SDI,"314,000","상승 6,500",+2.11%,"5,000","253,039","80,586",24.31,"507,131",-43.01,3.13
29,삼성화재,"498,000","하락 24,000",-4.60%,500,"229,136","46,011",56.35,"69,020",12.50,13.11
30,삼성중공업,"25,900",상승 450,+1.77%,"1,000","227,920","880,000",30.94,"3,653,054",64.75,1.77
31,현대로템,"192,100","상승 10,100",+5.55%,"5,000","209,662","109,142",33.23,"1,125,766",30.27,21.85
32,우리금융지주,"28,050",하락 450,-1.58%,"5,000","205,908","734,076",47.48,"1,379,986",6.46,9.39
33,SK이노베이션,"117,500","상승 2,900",+2.53%,"5,000","198,637","169,053",12.68,"268,104",-8.33,-9.65
34,포스코퓨처엠,"220,500","상승 14,500",+7.04%,500,"196,126","88,946",9.23,"568,128",-85.37,-7.98
35,삼성전기,"262,000","하락 1,000",-0.38%,"5,000","195,697","74,694",38.12,"347,964",29.40,8.16
36,SK,"268,500","상승 4,500",+1.70%,200,"194,670","72,503",26.49,"182,367",11.51,-5.64
37,메리츠금융지주,"110,700",하락 300,-0.27%,500,"193,970","175,222",14.71,"166,444",8.79,23.44
38,HMM,"20,500",하락 50,-0.24%,"5,000","193,364","943,238",6.75,"1,461,790",7.97,15.35
39,효성중공업,"1,987,000","하락 25,000",-1.24%,"5,000","185,279","9,325",25.58,"60,375",42.50,14.90
40,기업은행,"20,900",하락 150,-0.71%,"5,000","166,662","797,426",13.53,"600,579",6.17,8.06
41,KT&G,"141,000","하락 2,000",-1.40%,"5,000","166,347","117,977",42.15,"236,702",15.24,12.66
42,HD현대,"207,500","하락 1,000",-0.48%,"1,000","163,911","78,993",25.35,"114,888",22.84,6.36
43,LG전자,"97,100","하락 2,600",-2.61%,"5,000","158,163","162,886",32.25,"851,551",16.34,1.81
44,LS ELECTRIC,"518,000","상승 3,000",+0.58%,"5,000","155,400","30,000",21.96,"163,652",58.43,13.44
45,두산,"890,000","하락 38,000",-4.09%,"5,000","144,125","16,194",14.69,"114,257",318.20,-14.57
46,현대글로비스,"182,100","상승 2,800",+1.56%,500,"136,575","75,000",50.23,"250,236",9.83,13.24
47,삼성에스디에스,"174,600","하락 1,400",-0.80%,500,"135,102","77,378",19.35,"146,518",17.61,8.42
48,KT,"51,500","하락 1,600",-3.01%,"5,000","129,791","252,022",49.00,"278,876",13.47,2.85
49,LG,"83,300","하락 2,300",-2.69%,"5,000","128,467","154,222",35.50,"213,404",18.82,2.16
50,삼성에피스홀딩스,"515,000",보합 0,0.00%,"2,500","128,148","24,883",5.61,"672,406",N/A,N/A
51,미래에셋증권,"21,900",상승 50,+0.23%,"5,000","124,899","570,316",10.87,"1,937,596",12.56,7.94
52,하이브,"289,000","하락 1,000",-0.34%,500,"123,004","42,562",19.16,"164,099","-14,450.00",0.31
53,TIGER 미국S&P500,"25,080",보합 0,0.00%,0,"120,672","481,150",0.01,"5,997,691",N/A,N/A
